                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4576,                 1.8854,                  1.886,                0.39705,                0.66667,                0.45875,                0.13468,                 2.4187,                 7.1182,                 3.7301,             0.00065741,             0.00065741,             0.00065741
                      2,                 1.5927,                 1.8792,                 2.0092,                0.07064,                 0.1087,                0.02697,                0.00604,                 3.2959,                  7.432,                 3.8315,              0.0012979,              0.0012979,              0.0012979
                      3,                 1.5689,                 1.6898,                 1.9712,                0.03688,                0.13768,                0.01532,                0.00353,                 3.2364,                 18.982,                 4.5862,              0.0019119,              0.0019119,              0.0019119
                      4,                 1.5063,                 1.6373,                 1.9316,                0.10039,                0.27536,                0.05578,                0.01623,                 2.7302,                 5.8935,                 3.7294,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.455,                 1.4926,                 1.8978,                0.36704,                0.44961,                0.30062,                0.09398,                 2.3903,                 2.8859,                 3.4267,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4208,                 1.4893,                 1.8764,                 0.2202,                0.31884,                0.14349,                0.03488,                 2.9075,                 2.8818,                 3.4951,               0.001802,               0.001802,               0.001802
                      7,                 1.4219,                 1.4824,                 1.8654,                0.31318,                0.31884,                0.24342,                 0.0931,                 2.4188,                 2.7532,                 2.8459,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3573,                 1.4847,                 1.7919,                0.63467,                0.62319,                0.53303,                0.14784,                 2.3852,                 2.4333,                 3.1204,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.364,                 1.3828,                  1.794,                0.81769,                0.71014,                 0.7803,                0.33843,                 1.7917,                 1.4341,                 2.4246,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3043,                 1.3438,                 1.7766,                0.69078,                0.52899,                0.62189,                0.23561,                  2.051,                 1.8718,                 2.9346,              0.0016436,              0.0016436,              0.0016436
