                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8723,                  5.279,                 2.4888,                0.00081,                0.14493,                0.00051,                0.00013,                 3.9996,                 4.2084,                 4.7087,             0.00066425,             0.00066425,             0.00066425
                      2,                 2.0292,                 2.6633,                 2.5743,                0.00203,                 0.0942,                0.00121,                 0.0003,                  3.919,                 3.8465,                 4.2668,              0.0013046,              0.0013046,              0.0013046
                      3,                 1.9198,                 2.6765,                 2.5269,                0.10886,                0.09119,                 0.0252,                0.00459,                 3.3944,                 3.3919,                 3.9462,              0.0019185,              0.0019185,              0.0019185
                      4,                 1.8798,                 2.5691,                 2.4954,                0.12696,                0.14493,                0.06503,                0.01424,                 2.7527,                 3.0673,                 3.5542,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8523,                 2.4439,                 2.4457,                 0.0094,                 0.4058,                0.01577,                0.00334,                 3.1536,                 3.5909,                 3.7373,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.815,                 2.4184,                 2.4448,                0.22753,                0.12319,                0.09055,                0.02155,                 2.6052,                 3.6403,                  3.638,               0.001802,               0.001802,               0.001802
                      7,                 1.7558,                 2.3553,                 2.3905,                0.14912,                0.12319,                0.10171,                0.02392,                 2.7612,                 4.9223,                 3.7048,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7358,                   2.21,                 2.3665,                0.07453,                0.08696,                0.05054,                0.00951,                  2.581,                 4.9993,                 3.4028,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6968,                 2.2441,                 2.3246,                0.27418,                0.05797,                0.07117,                0.01817,                  2.532,                 3.9249,                 3.4298,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6668,                 2.1515,                 2.2999,                0.29916,                0.21014,                0.15713,                0.03729,                 2.6195,                 3.5029,                 3.5425,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6241,                 2.2096,                 2.2478,                0.06875,                0.23913,                 0.0756,                0.01794,                 2.5173,                 4.5709,                 3.4615,               0.001604,               0.001604,               0.001604
                     12,                 1.6554,                 1.9797,                 2.2866,                0.19531,                0.36232,                0.23969,                0.06547,                 2.5477,                 4.3194,                 3.5048,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6117,                  2.074,                  2.246,                0.18776,                0.33333,                0.20064,                0.05345,                 2.4316,                 4.5787,                 3.2332,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5566,                 2.0148,                 2.1915,                 0.0915,                0.30435,                0.08155,                0.01963,                 2.2784,                  4.703,                 3.2383,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5333,                 1.9371,                 2.1755,                0.01429,                0.01449,                 0.0095,                 0.0017,                 2.7521,                 6.2117,                 3.4084,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5451,                 2.0153,                 2.1543,                0.07554,                0.42754,                0.18155,                0.05247,                 2.2918,                 4.2843,                 3.2142,               0.001406,               0.001406,               0.001406
                     17,                 1.5369,                 1.9848,                 2.1192,                0.22892,                0.27536,                0.20865,                0.06225,                 2.3914,                 4.7137,                 3.3874,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.5569,                 1.9982,                 2.1962,                0.18421,                0.25362,                0.15197,                0.04057,                 2.5159,                 4.8242,                 3.6653,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.4724,                  1.807,                 2.1446,                0.11905,                0.07246,                0.08645,                0.02445,                  2.531,                  5.789,                 3.2747,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.5117,                 1.8469,                 2.1143,                0.04887,                 0.0942,                0.05506,                0.01893,                 2.2369,                  5.545,                 3.0821,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.4837,                 1.8007,                 2.1284,                0.08481,                0.34783,                 0.1155,                0.03635,                 2.1018,                 4.4967,                 2.9819,               0.001208,               0.001208,               0.001208
                     22,                 1.5065,                 1.8038,                 2.1193,                0.23205,                0.13768,                0.13968,                0.03801,                 2.2571,                 4.6225,                  3.229,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4432,                 1.7752,                 2.0851,                0.20067,                0.43478,                0.24086,                0.07394,                 2.5354,                 3.9137,                 3.9768,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.4521,                 1.7815,                 2.0709,                0.04279,                0.13768,                0.04933,                0.01689,                 2.4995,                 5.3487,                 3.1517,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.4712,                 1.6962,                 2.0724,                0.10954,                0.22464,                0.12522,                0.04264,                 2.3024,                 4.9286,                 3.1334,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3836,                 1.6619,                 2.0236,                0.12237,                0.46377,                0.17825,                0.06292,                 2.1413,                 4.0554,                 3.1143,                0.00101,                0.00101,                0.00101
                     27,                 1.4368,                 1.6939,                 2.0485,                0.14396,                 0.4058,                0.25117,                0.07802,                 2.1124,                 4.2504,                 3.1042,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.4314,                 1.6949,                 2.0867,                 0.1985,                0.38406,                0.26912,                0.07649,                 2.6426,                 4.3952,                 3.8258,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.4139,                 1.6141,                 2.0361,                0.65127,                0.18949,                0.33782,                0.09466,                 2.2897,                 3.8183,                 3.2663,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.356,                 1.6028,                 2.0131,                0.16071,                0.32609,                0.19268,                0.05968,                 2.2227,                 4.7804,                 3.2236,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.3372,                 1.5916,                 1.9524,                0.71103,                0.19565,                0.33586,                0.11128,                 2.3786,                 3.6999,                 3.5532,               0.000812,               0.000812,               0.000812
                     32,                 1.3397,                 1.5315,                 1.9867,                0.34568,                 0.4058,                0.32599,                0.11104,                 2.3285,                 4.1413,                 3.4428,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.3488,                 1.5451,                 1.9904,                0.22009,                0.34058,                0.25508,                0.08731,                  2.266,                 4.1847,                 3.2322,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.3329,                 1.5237,                 1.9609,                0.50349,                0.32609,                0.32386,                 0.0845,                 2.5127,                 3.1227,                 3.8373,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.3327,                 1.5098,                 1.9582,                0.17612,                0.42754,                0.26317,                0.08824,                  2.277,                 4.2611,                 3.0961,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3335,                 1.5225,                 1.9413,                0.14213,                 0.2029,                0.17499,                0.05347,                 2.3726,                 5.0932,                 3.3847,               0.000614,               0.000614,               0.000614
                     37,                 1.3067,                 1.4208,                  1.943,                0.11959,                0.34058,                 0.1492,                0.05584,                  2.226,                 4.5667,                 3.1217,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3137,                 1.4544,                 1.9738,                0.20098,                 0.5942,                 0.3173,                0.10658,                 2.2489,                 3.8297,                 3.1757,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2842,                 1.4855,                 1.8999,                0.14429,                0.52174,                0.21498,                0.06987,                 2.1598,                 4.0812,                 3.1926,              0.0004952,              0.0004952,              0.0004952
